epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1398,2.02626,4.02715,0.0033,0.009,0.31953,0.00594,0.00348,1.53156,4.05334,0.00353,2e-05,2e-05,2e-05
2,19.6626,1.71743,4.07814,0.00294,0.00983,0.34911,0.00664,0.00376,1.43778,3.99287,0.00323,5.8812e-05,5.8812e-05,5.8812e-05
3,27.2097,1.77711,3.89202,0.00288,0.01117,0.39645,0.00781,0.00429,1.50041,3.99332,0.00343,9.604e-05,9.604e-05,9.604e-05
4,36.6486,1.82252,3.84316,0.00305,0.01283,0.45562,0.00948,0.00497,1.69989,3.99545,0.00387,0.000131684,0.000131684,0.000131684
5,48.282,1.80224,3.57043,0.00277,0.0145,0.51479,0.01617,0.0069,1.66539,3.95529,0.00378,0.000165744,0.000165744,0.000165744
6,60.5693,1.61033,3.48848,0.00257,0.016,0.56805,0.02294,0.00904,1.58613,3.95869,0.00375,0.00019822,0.00019822,0.00019822
7,72.8779,1.48377,3.31348,0.00258,0.01717,0.60947,0.03492,0.01326,1.54709,3.93335,0.00369,0.000229112,0.000229112,0.000229112
8,86.5342,1.67761,3.0932,0.00265,0.01883,0.66864,0.05895,0.02299,1.55041,3.90117,0.00365,0.00025842,0.00025842,0.00025842
9,103.339,1.77822,2.90134,0.00262,0.01867,0.66272,0.07235,0.02744,1.6027,3.90134,0.00378,0.000286144,0.000286144,0.000286144
10,119.274,1.8539,2.87027,0.00253,0.01833,0.65089,0.0873,0.03258,1.6263,3.90059,0.00378,0.000312284,0.000312284,0.000312284
11,137.968,1.68626,2.84732,0.00265,0.0185,0.6568,0.09858,0.03721,1.6414,3.85867,0.00373,0.00033684,0.00033684,0.00033684
12,159.009,1.54568,2.49693,0.00259,0.01917,0.68047,0.07872,0.03216,1.57174,3.80821,0.00362,0.000359812,0.000359812,0.000359812
13,181.782,1.73565,2.69203,0.00247,0.01933,0.68639,0.07243,0.02594,1.47476,3.80428,0.00344,0.0003812,0.0003812,0.0003812
14,211.686,1.59864,2.37151,0.00267,0.0195,0.69231,0.05316,0.02071,1.44899,3.77337,0.00339,0.000401004,0.000401004,0.000401004
